rpssm0,rpssm1,rpssm2,rpssm3,rpssm4,rpssm5,rpssm6,rpssm7,rpssm8,rpssm9,rpssm10,rpssm11,rpssm12,rpssm13,rpssm14,rpssm15,rpssm16,rpssm17,rpssm18,rpssm19,rpssm20,rpssm21,rpssm22,rpssm23,rpssm24,rpssm25,rpssm26,rpssm27,rpssm28,rpssm29,rpssm30,rpssm31,rpssm32,rpssm33,rpssm34,rpssm35,rpssm36,rpssm37,rpssm38,rpssm39,rpssm40,rpssm41,rpssm42,rpssm43,rpssm44,rpssm45,rpssm46,rpssm47,rpssm48,rpssm49,rpssm50,rpssm51,rpssm52,rpssm53,rpssm54,rpssm55,rpssm56,rpssm57,rpssm58,rpssm59,rpssm60,rpssm61,rpssm62,rpssm63,rpssm64,rpssm65,rpssm66,rpssm67,rpssm68,rpssm69,rpssm70,rpssm71,rpssm72,rpssm73,rpssm74,rpssm75,rpssm76,rpssm77,rpssm78,rpssm79,rpssm80,rpssm81,rpssm82,rpssm83,rpssm84,rpssm85,rpssm86,rpssm87,rpssm88,rpssm89,rpssm90,rpssm91,rpssm92,rpssm93,rpssm94,rpssm95,rpssm96,rpssm97,rpssm98,rpssm99,rpssm100,rpssm101,rpssm102,rpssm103,rpssm104,rpssm105,rpssm106,rpssm107,rpssm108,rpssm109
5.937971953,4.459749191,4.522046926,4.073624595,4.490088997,3.937432578,3.995954693,8.633495146,5.850323625,6.727346278,3.974312298,2.507281553,2.662621359,3.321939051,3.47815534,2.701658576,2.796723301,8.057645631,4.572208738,6.642597087,3.911205502,2.89684466,2.525485437,3.374528047,3.584951456,3.240493528,3.246966019,8.999393204,5.200849515,7.239684466,3.719795038,3.039846278,2.90473301,2.227076591,2.946399676,3.279126214,3.19012945,8.097087379,3.480582524,5.697411003,4.26355178,3.02184466,3.424757282,2.933185005,3.36407767,3.245752427,3.36711165,7.289441748,4.233616505,6.561286408,3.676645092,2.354840885,2.91228425,2.999460626,3.185342503,2.879449838,2.999460626,7.785868393,3.836030205,5.881337648,3.600930421,2.338592233,2.709951456,3.099851672,3.35315534,2.909991909,2.897451456,7.340412621,3.813713592,6.250606796,10.5566343,9.671723301,9.851334951,8.104908306,7.988470874,7.873786408,7.912621359,10.51699029,8.38592233,7.230582524,4.709546926,4.142597087,4.717839806,3.592772384,3.850121359,3.486245955,3.417475728,8.917475728,3.082524272,6.17961165,5.921521036,5.615898058,5.841626214,4.623516721,5.158373786,4.617313916,5.050970874,10.17961165,4.349514563,7.22815534,6.334544304,3.347826087,3.474736867,2.40738407,4.022625966,3.447921772,3.353088754,14.40243646,6.149128334,8.575415996
5.362509992,4.620003997,4.364458433,3.269184652,4.299635292,4.042166267,4.21870004,6.083733014,5.465627498,6.252198241,4.588529177,3.230215827,3.182553957,2.505895284,3.595098921,3.395383693,3.512814748,5.264388489,5.037769784,5.340827338,4.663544165,3.284397482,2.983138489,2.560526579,3.619154676,3.37477518,3.426258993,4.818120504,4.700314748,5.305530576,3.473920863,2.751099121,2.68769984,1.570043965,2.486785572,2.316646683,2.699015787,5.212130296,3.643784972,4.369204636,4.436250999,3.728417266,3.717625899,2.345523581,3.293839928,3.196043165,3.571717626,5.518884892,3.962230216,4.482913669,4.195243805,3.330535572,3.337579936,2.293165468,3.167840727,2.664268585,3.117481015,5.462430056,4.400079936,4.698641087,4.338604117,3.566321942,3.491232014,2.51496303,3.349820144,2.926633693,3.04676259,5.378372302,4.57801259,5.098696043,6.320843325,5.748201439,5.15602518,5.013689049,5.417041367,5.135791367,5.183228417,4.520683453,6.135791367,7.26528777,5.117306155,5.09442446,4.89073741,3.743605116,4.168839928,4.195443645,4.510566547,6.415467626,4.660071942,5.368705036,5.616406875,5.435251799,5.150629496,4.556854516,5.060926259,4.669964029,5.202113309,7.472122302,5.592625899,5.997302158,5.802104475,3.858507199,3.559294309,1.595514141,3.382176897,3.140254727,3.404309119,5.496946001,5.846465259,7.607218718
12.26631607,11.26806904,13.08420982,10.81850054,11.90126079,13.33697411,12.98439186,11.08319849,14.19039914,12.55649946,9.808117584,8.100121359,9.903519417,9.094660194,11.9226335,11.88093312,10.97239078,10.25728155,14.52305825,11.00970874,11.55993797,9.591019417,11.30097087,10.11670712,14.76668689,13.84553668,12.04520631,11.71541262,19.24817961,12.60376214,9.857470334,8.14684466,9.875606796,7.416936354,10.29136327,11.31351133,11.39188916,8.328883495,14.54530744,13.03276699,11.4721548,10.62803398,12.1098301,9.097289644,8.041565534,9.80912891,10.56158981,11.96662621,15.3586165,11.28822816,11.21642395,9.813106796,11.36225728,10.82928803,8.309162621,9.486650485,10.51527104,12.60639159,16.43527508,10.08616505,11.27980043,8.722694175,10.13288835,9.799352751,8.931128641,9.204153182,9.42809466,12.30825243,18.16140777,8.729368932,12.94929881,11.5631068,14.23118932,11.81917476,14.8904733,16.17502697,15.56826456,11.10679612,12.53519417,16.94174757,12.22235707,13.15898058,16.54308252,12.48381877,9.407463592,9.668149946,11.6568568,15.23907767,20.05582524,17.47451456,10.95981661,10.37135922,10.77730583,13.06027508,11.46571602,10.18797195,9.307342233,14.98543689,20.74393204,7.88592233,11.03938126,8.945330042,13.94546782,7.120028975,12.54676113,12.69745903,12.47391965,10.61549285,19.49103295,15.6311991
4.698216735,5.88173011,7.092506859,4.171124829,4.455675583,4.253600823,5.463134431,6.208504801,6.376200274,5.735253772,5.126714678,5.262731481,6.469135802,3.775891632,4.619598765,4.578703704,5.25308642,5.790123457,6.648148148,6.723765432,6.345979081,6.072530864,6.814429012,4.675711591,6.048225309,5.934284979,6.579861111,6.726466049,7.488811728,8.149305556,4.40877915,3.991983882,4.865312071,2.372427984,3.682698903,3.536522634,4.752914952,5.462277092,5.267832647,5.11659808,5.163880316,5.267746914,5.819830247,3.959662209,4.545138889,4.472350823,5.342978395,6.292824074,6.923996914,5.396219136,4.839849108,4.879672497,5.754029492,3.781207133,4.40989369,4.006344307,5.273834019,6.177640604,7.131344307,4.772290809,5.79582476,5.87191358,6.636959877,4.465063443,4.753472222,4.559542181,5.342978395,7.139274691,7.105324074,5.628472222,5.939986283,6.247299383,7.264660494,5.060356653,5.449845679,5.862654321,6.972222222,6.793209877,7.444444444,7.697530864,6.814986283,6.719521605,7.721450617,5.39111797,6.843364198,6.555555556,7.455246914,7.739197531,8.476851852,6.856481481,5.471364883,6.440200617,7.480709877,5.075274348,5.6875,5.053497942,6.865740741,7.541666667,7.600308642,5.310185185,6.1083119,5.498310059,6.957514793,2.611296778,5.788956213,5.500585404,6.672577515,8.011323077,8.539777515,7.285074556
5.229461756,4.171270066,4.569995279,3.128737803,3.590415486,3.641328297,3.624645892,3.612370161,5.039187913,5.568932956,4.329910293,3.620396601,3.80878187,2.358868429,2.89766289,2.888770853,3.025141643,3.640580737,4.945113314,5.241147309,4.510859301,3.89907932,4.256728045,2.761252754,3.093484419,3.266603714,3.221671388,3.934844193,5.395184136,5.450424929,3.161315707,2.399158011,2.87767548,1.134246144,1.916037142,2.013849544,2.110324205,2.948378974,3.663204281,4.057916273,3.628777148,3.057365439,3.410056657,2.009482216,2.750354108,2.757042808,2.97131728,2.687322946,4.190155807,4.50601983,3.591753226,3.074952786,3.293791313,2.079005351,2.894475921,2.82892666,2.879131256,2.915486308,4.395184136,5.05618508,3.790840415,3.21990085,3.515934844,2.155964747,2.839235127,2.608907775,2.742209632,3.066572238,4.454674221,5.084985836,3.568460812,3.579674221,3.933073654,2.723009128,2.748583569,3.218917218,3.172804533,2.199716714,4.375354108,4.613314448,5.079320113,4.726983003,5.121458924,3.7834435,4.438385269,4.810985206,5.097733711,4.621813031,5.553824363,5.754957507,5.549102927,5.253895184,5.20786119,4.131413283,4.446883853,4.663204281,4.937677054,4.617563739,6.135977337,6.498583569,4.674100319,3.429490249,4.097066616,1.166072613,2.639224042,2.746567788,2.895705656,2.189927862,6.066647515,6.756367902
4.854010962,5.377428999,6.048393124,4.718485301,4.916106129,5.088938714,4.559043348,7.244394619,7.561285501,6.858744395,4.70079721,4.230941704,4.969170404,4.291728949,4.304372197,4.468609865,3.823991031,5.908071749,6.822869955,6.029147982,5.28805431,4.932174888,5.656950673,4.673455406,4.826233184,5.017750374,4.599215247,7.076793722,7.280829596,6.922085202,4.685102143,4.009466866,4.378487793,3.222720478,3.477142501,3.514947683,3.853263577,6.531888391,4.999750872,5.368958645,4.684167912,4.499439462,5.016816143,3.657760339,4.211883408,4.548393124,4.859304933,6.049887892,5.462443946,6.045403587,4.729446936,3.939461883,4.237481315,3.988041854,4.501307922,4.621076233,5.101644245,5.91554559,5.331091181,5.74813154,4.631851021,3.46132287,3.587443946,3.778836572,4.89573991,4.839125561,4.972533632,4.798766816,5.760650224,5.583520179,6.2673144,5.795964126,7.227017937,6.904583956,6.52970852,6.481315396,5.390134529,5.869955157,7.273542601,6.847533632,7.27105132,6.255605381,6.691143498,5.379172895,5.370515695,5.183109118,5.782511211,7.047085202,5.495515695,7.015695067,7.217987045,6.208520179,6.917600897,5.744643747,6.345852018,5.910313901,6.091928251,6.704035874,6.466367713,5.928251121,5.605123299,4.316361408,5.662448182,3.128912893,4.379444356,4.798327664,4.49836077,5.398915816,8.316884566,8.463010204
3.282120051,3.936494253,4.108237548,3.130395913,3.603831418,4.153128991,4.17394636,3.924521073,4.922605364,5.124137931,4.161749681,4.050287356,4.249425287,2.847445722,3.618965517,4.095210728,4.053448276,4.632758621,5.246551724,6.125862069,4.314144317,4.039655172,4.297413793,3.27646871,4.035344828,4.334195402,4.406034483,5.088218391,5.637643678,6.251436782,3.136270754,2.880683269,3.12752235,1.787100894,2.789399745,3.020561941,3.028480204,4.078288633,4.04265645,3.798212005,3.71366539,3.86408046,3.897126437,2.387867178,2.944827586,3.691954023,3.53045977,3.812643678,4.432183908,3.817241379,4.053767561,4.133812261,4.00210728,2.850702427,3.497701149,3.740613027,3.812643678,4.774329502,5.114942529,4.343295019,4.150159642,3.948850575,3.819252874,2.865357599,3.469252874,3.777873563,3.61408046,4.68362069,5.289367816,4.679022989,4.252745849,4.813505747,5.431609195,3.954916986,4.216091954,4.772796935,4.887356322,4.794252874,4.87816092,5.703448276,4.825159642,5.60545977,5.943103448,4.151851852,4.493103448,4.696934866,4.790804598,5.7,5.772413793,5.174712644,4.899872286,5.289367816,5.513218391,4.482503193,4.727586207,4.930268199,5.247126437,5.972413793,6.106896552,4.398850575,3.787131531,4.290099476,4.566181035,1.730819048,3.35347798,4.015087114,3.848050459,5.922628567,6.496801616,6.379445122
6.810865191,5.421948357,5.204896043,4.017437961,5.159624413,5.467247932,5.508551308,6.371898055,5.772635815,7.559691482,6.044796557,4.264084507,4.035965795,2.595769059,3.78998994,3.954923988,4.086267606,4.919265594,4.453470825,6.149647887,5.675497429,4.311619718,3.97334004,2.858596021,3.714788732,4.02727476,4.174044266,4.434607646,4.428571429,5.831991952,3.986250838,2.608176839,2.876033982,1.595908786,2.429353901,2.971942768,2.853062821,4.577241225,3.724457858,4.828079589,4.69293539,3.40165996,3.554325956,2.367315001,3.009557344,3.768052761,3.412474849,5.168008048,4.23138833,5.450704225,4.920858484,3.918259557,4.120053655,2.91437514,3.441649899,3.865638274,3.581321261,5.862843729,4.920187793,5.650905433,4.874944109,3.751006036,3.955985915,2.801503465,3.240191147,3.798485357,3.750251509,5.502263581,5.008299799,5.757796781,6.383411581,4.940392354,4.57444668,4.418287503,4.942655936,5.600044713,5.165492958,3.910462777,5.185110664,6.8722334,5.669461212,4.312625755,4.308853119,3.821708026,4.46277666,4.873351218,4.710764588,5.209255533,5.161971831,6.336016097,7.08931366,5.674798793,5.428571429,4.772076906,5.524144869,5.935725464,5.557847082,6.235412475,5.701207243,6.657947686,6.682010505,4.081611587,3.969004532,1.589589505,3.141550136,3.898998493,3.80710795,4.429315656,5.128014064,7.61201029
6.348232323,6.318434343,7.538794192,4.911363636,5.683396465,5.963005051,6.711426768,6.73510101,7.804040404,7.937752525,6.445328283,6.053977273,7.307102273,4.276767677,5.407386364,5.507575758,5.719886364,6.521590909,7.611363636,8.015909091,7.150252525,6.632954545,7.605965909,5.084343434,6.603409091,6.529545455,6.576136364,7.15,8.523863636,9.492045455,4.571085859,3.992171717,5.282228535,2.608712121,3.997285354,4.233585859,4.909027778,5.003914141,6.309217172,6.333080808,5.795896465,5.388068182,6.504261364,4.34135101,5.057386364,5.657765152,6.55,6.117613636,7.582386364,6.928977273,6.032449495,5.385353535,6.202683081,4.314015152,5.704861111,5.300252525,6.172285354,6.598611111,7.849368687,7.378535354,6.569097222,6.169034091,7.130113636,4.917203283,6.032102273,5.723390152,6.094602273,7.292329545,8.499147727,7.478693182,6.210858586,5.8875,7.251420455,4.813131313,5.938068182,6.483712121,7.136931818,6.081818182,7.934090909,8.410227273,7.806313131,8.045454545,8.873011364,6.591919192,7.953977273,7.4875,8.167613636,8.425,8.147727273,8.732954545,8.429040404,8.320454545,9.255965909,6.020707071,7.530113636,6.829924242,7.897159091,8.538636364,8.45,7.005681818,7.216417028,6.149659864,7.805292034,2.694588275,6.353209311,6.319977559,7.356890905,6.865914922,9.672081077,9.958453525
9.1190651,12.61505751,11.87753916,9.542584435,10.72794298,11.61674009,12.68177925,10.06595693,10.91874694,13.19003916,12.98721243,11.52120044,12.29432819,9.004711209,11.35379956,13.14433431,13.37059471,12.74504405,14.32433921,17.67455947,11.38781816,11.39757709,11.46200441,9.342908713,11.89151982,13.13157734,14.15721366,11.53661894,13.78221366,16.52670705,8.673519334,8.248562163,8.787842633,6.234092022,8.253518111,9.545398923,10.56454968,9.914586393,11.16018111,13.32721488,10.90048336,12.23898678,11.92896476,8.993606216,9.591960352,10.43352301,11.48595815,11.16492291,12.55809471,12.37417401,11.83614782,13.17709863,11.97555678,9.843857073,10.61560817,10.84654919,12.63405531,11.44260891,13.74620656,14.22381302,12.3836882,14.0625,13.7998348,11.11778023,10.90280837,12.14690406,12.4185022,13.29460352,15.23072687,15.09306167,10.10744004,12.68419604,11.56415198,10.26737641,11.39289648,12.11221243,13.85737885,8.13215859,12.280837,13.90528634,10.90846794,13.96613436,13.7998348,10.78279491,10.3378304,11.51235928,12.90363436,11.93171806,11.47907489,13.68722467,12.97821831,17.49476872,15.67758811,13.08455702,13.62747797,13.94040627,15.33645374,15.08810573,13.76101322,14.74449339,11.81016571,12.76461055,13.24230648,6.357425432,10.47499094,12.82626414,15.05095278,10.08219297,13.83617438,19.55548364
